,collection_date_ww,state,accession
0,2022-11-22,NE,SRR23309452
1,2022-08-21,WA,SRR21473910
2,2022-11-01,NM,SRR22315951
3,2022-11-29,SD,SRR22720080
4,2022-08-07,TX,SRR21194704
5,2022-05-09,CA,SRR22242414
6,,KY,
7,2022-07-24,OH,SRR24054868
8,2022-12-04,AL,SRR22910713
9,2022-11-21,GA,SRR22554198
10,2022-10-11,WI,SRR22043570
11,2022-09-25,OR,SRR21883251
12,2022-08-10,PA,SRR21190058
13,2022-12-26,MS,SRR23038454
14,2023-01-18,MO,SRR23309246
15,2022-08-01,NC,SRR24112962
16,2022-11-16,OK,SRR22554223
17,,WV,
18,2022-08-16,NY,SRR22990584
19,2022-06-01,IN,SRR19787511
20,2022-06-07,KS,SRR22236755
21,2022-08-21,ID,SRR22259798
22,2022-11-07,NV,SRR23101641
23,2022-08-14,VT,SRR22259562
24,2022-11-13,MT,SRR22909247
25,2022-10-09,MN,SRR22043548
26,2023-02-06,ND,SRR23499370
27,2022-08-14,HI,SRR21356649
28,2022-05-23,AZ,SRR22236399
29,,DE,
30,2022-10-04,RI,SRR21959246
31,2022-07-28,CO,SRR23366422
32,2022-08-11,UT,SRR21194334
33,2022-05-31,VA,SRR22236784
34,2022-12-13,WY,SRR22909815
35,2022-11-01,LA,SRR22315844
36,,MI,
37,2022-06-27,MA,SRR22236812
38,2022-08-21,FL,SRR21473924
39,2022-10-26,CT,SRR22401649
40,2022-07-06,NJ,SRR22034135
41,2022-10-10,MD,SRR22043610
42,2022-05-31,SC,SRR22236347
43,2022-12-18,ME,SRR22973752
44,2022-07-18,NH,SRR22236430
45,2022-11-29,IA,SRR22719999
46,2022-08-15,AR,SRR21356686
47,2022-09-26,TN,SRR21883340
48,2022-09-26,IL,SRR21883057
49,2022-09-06,AK,SRR21668963
