,collection_date_ww,state,accession
0,2022-07-25,NE,SRR21010557
1,2022-05-20,WA,SRR19416273
2,2022-06-29,NM,SRR20208024
3,2022-06-19,SD,SRR20029169
4,2022-06-13,TX,SRR20011743
5,2022-06-06,CA,SRR19787423
6,2022-06-22,KY,SRR22236705
7,2022-06-21,OH,SRR24040888
8,2022-06-05,AL,SRR22236339
9,2022-06-09,GA,SRR19787462
10,2022-07-20,WI,SRR22236408
11,2022-06-13,OR,SRR20011862
12,2022-06-22,PA,SRR22236691
13,2022-05-31,MS,SRR19779070
14,2022-06-20,MO,SRR22236688
15,2022-06-06,NC,SRR19787425
16,2022-05-10,OK,SRR22242545
17,2022-07-19,WV,SRR22237115
18,2022-06-12,NY,SRR20011835
19,2022-07-11,IN,SRR20680130
20,2022-06-07,KS,SRR22236751
21,2022-06-12,ID,SRR22236735
22,2022-06-16,NV,SRR21798973
23,2022-06-19,VT,SRR22236281
24,2022-06-27,MT,SRR20208075
25,2022-06-21,MN,SRR20207851
26,2022-09-28,ND,SRR21883034
27,2022-06-05,HI,SRR19787424
28,2022-06-26,AZ,SRR20207817
29,2022-06-06,DE,SRR22236771
30,2022-06-06,RI,SRR19787499
31,2022-06-26,CO,SRR22236826
32,2022-06-07,UT,SRR22236535
33,2022-06-06,VA,SRR22236322
34,2022-08-22,WY,SRR21473836
35,2022-06-15,LA,SRR21384146
36,2022-10-27,MI,SRR22401124
37,2022-06-06,MA,SRR22236907
38,2022-06-12,FL,SRR20011750
39,2022-05-30,CT,SRR22236933
40,2022-04-08,NJ,SRR22394066
41,2022-06-08,MD,SRR21188933
42,2022-06-26,SC,SRR20207979
43,2022-06-22,ME,SRR20208012
44,2022-07-10,NH,SRR20680044
45,2022-06-21,IA,SRR22236689
46,2022-05-03,AR,SRR21970151
47,2022-06-26,TN,SRR20208069
48,2022-06-20,IL,SRR20029309
49,2022-05-29,AK,SRR19654462
