,collection_date_ww,state,accession
0,2022-11-22,NE,SRR23309452
1,2022-06-16,WA,SRR20166818
2,2022-08-31,NM,SRR21554349
3,2022-10-25,SD,SRR22401225
4,2022-07-04,TX,SRR20326063
5,2022-05-28,CA,SRR19654437
6,2022-12-06,KY,SRR22910599
7,2022-09-07,OH,SRR24054265
8,2022-06-07,AL,SRR19782009
9,2022-11-21,GA,SRR22554156
10,2022-10-27,WI,SRR22401536
11,2022-10-09,OR,SRR22043722
12,2022-06-28,PA,SRR20208035
13,2022-08-08,MS,SRR21194665
14,2022-11-02,MO,SRR22315847
15,2022-08-01,NC,SRR24112965
16,2022-10-26,OK,SRR22315924
17,,WV,
18,2022-08-09,NY,SRR21194339
19,2022-08-21,IN,SRR21883371
20,2022-07-31,KS,SRR21112029
21,,ID,
22,2022-09-26,NV,SRR22260475
23,2022-09-11,VT,SRR21729879
24,2022-11-08,MT,SRR22401691
25,2022-08-21,MN,SRR21473906
26,2022-10-26,ND,SRR22401116
27,2022-09-06,HI,SRR21669204
28,2022-10-02,AZ,SRR21959169
29,,DE,
30,2022-08-29,RI,SRR21883370
31,2022-06-13,CO,SRR23293910
32,2022-11-17,UT,SRR22554222
33,2022-06-26,VA,SRR20207839
34,2022-10-25,WY,SRR22401262
35,2022-08-02,LA,SRR21112047
36,2022-11-30,MI,SRR22720259
37,2022-08-28,MA,SRR22260103
38,2022-08-14,FL,SRR21356680
39,2022-08-22,CT,SRR21473685
40,2022-04-08,NJ,SRR22394066
41,2022-06-22,MD,SRR21187573
42,2022-09-25,SC,SRR21883092
43,2022-07-04,ME,SRR21010143
44,2022-10-12,NH,SRR22043586
45,2022-08-23,IA,SRR21473848
46,2022-10-09,AR,SRR22043534
47,2022-09-27,TN,SRR21883252
48,2022-07-24,IL,SRR21010589
49,2022-10-25,AK,SRR22401494
