,collection_date_ww,state,accession
0,2023-02-17,NE,SRR23752681
1,2022-10-13,WA,SRR21983742
2,2022-11-22,NM,SRR22554240
3,2022-12-18,SD,SRR22973579
4,2022-10-26,TX,SRR22401133
5,2022-10-10,CA,SRR22043658
6,2022-11-22,KY,SRR23309277
7,2022-12-04,OH,SRR24057718
8,2022-11-20,AL,SRR22554166
9,2022-12-09,GA,SRR22909808
10,2023-01-26,WI,SRR23458527
11,2022-12-22,OR,SRR26796844
12,2022-11-20,PA,SRR22554137
13,2022-12-26,MS,SRR23038454
14,2022-11-30,MO,SRR22720174
15,2022-11-20,NC,SRR22554110
16,2022-11-29,OK,SRR23037910
17,2023-09-13,WV,SRR26339448
18,2022-11-06,NY,SRR22401420
19,2022-11-29,IN,SRR22720079
20,2022-11-28,KS,SRR22720310
21,2023-09-18,ID,SRR26424937
22,2022-11-07,NV,SRR23101641
23,2022-12-12,VT,SRR22909848
24,2023-01-02,MT,SRR23102911
25,2022-11-15,MN,SRR22909281
26,2023-01-09,ND,SRR23214834
27,2022-11-27,HI,SRR22719969
28,2022-11-22,AZ,SRR23309581
29,,DE,
30,2022-10-31,RI,SRR22315863
31,2022-11-28,CO,SRR23590461
32,2022-12-27,UT,SRR23038436
33,2022-10-27,VA,SRR22401376
34,2022-12-05,WY,SRR22910698
35,2022-11-27,LA,SRR22720034
36,2023-01-16,MI,SRR23309526
37,2022-12-04,MA,SRR22910614
38,2022-10-09,FL,SRR22043538
39,2022-10-23,CT,SRR22401669
40,2022-11-14,NJ,SRR22474903
41,2022-11-27,MD,SRR22720120
42,2022-11-28,SC,SRR22720104
43,2022-11-21,ME,SRR23309267
44,2022-12-11,NH,SRR22909996
45,2022-11-30,IA,SRR22720166
46,2022-11-21,AR,SRR22554081
47,2022-10-10,TN,SRR22043721
48,2023-01-02,IL,SRR23214516
49,2023-01-03,AK,SRR23103103
