,collection_date_ww,state,accession,n_clusters_1_ldm,cluster_depth_1_ldm,n_clusters_2plus_ldm,cluster_depth_2plus_ldm,p_lineage_present
0,2022-11-22,NE,SRR23309452,2,18,0,0,
1,2022-08-21,WA,SRR21473910,11,396,0,0,1.0
2,2022-11-01,NM,SRR22315951,1,3,0,0,0.015535320193080593
3,2022-11-29,SD,SRR22720080,3,1475,0,0,
4,2022-08-07,TX,SRR21194704,5,7,0,0,1.0
5,2022-05-09,CA,SRR22242414,0,0,0,0,
6,,KY,,0,0,0,0,
7,2022-07-24,OH,SRR24054868,2,3,0,0,0.04084285792696994
8,2022-12-04,AL,SRR22910713,1,1,0,0,
9,2022-11-21,GA,SRR22554198,3,10,1,5,1.0
10,2022-10-11,WI,SRR22043570,0,0,0,0,
11,2022-09-25,OR,SRR21883251,2,2,0,0,
12,2022-08-10,PA,SRR21190058,1,1,0,0,
13,2022-12-26,MS,SRR23038454,4,1709,0,0,
14,2023-01-18,MO,SRR23309246,3,9,0,0,
15,2022-08-01,NC,SRR24112962,8,10,0,0,0.11510259961236985
16,2022-11-16,OK,SRR22554223,0,0,0,0,
17,,WV,,0,0,0,0,
18,2022-08-16,NY,SRR22990584,0,0,0,0,
19,2022-06-01,IN,SRR19787511,1,1,0,0,
20,2022-06-07,KS,SRR22236755,0,0,0,0,
21,2022-08-21,ID,SRR22259798,3,3,0,0,
22,2022-11-07,NV,SRR23101641,8,10,1,1,1.0
23,2022-08-14,VT,SRR22259562,3,3,0,0,
24,2022-11-13,MT,SRR22909247,2,3,0,0,
25,2022-10-09,MN,SRR22043548,0,0,0,0,
26,2023-02-06,ND,SRR23499370,1,1,0,0,
27,2022-08-14,HI,SRR21356649,4,6,0,0,1.0
28,2022-05-23,AZ,SRR22236399,0,0,0,0,
29,,DE,,0,0,0,0,
30,2022-10-04,RI,SRR21959246,2,2,0,0,
31,2022-07-28,CO,SRR23366422,9,13,0,0,0.5183092382048403
32,2022-08-11,UT,SRR21194334,1,1,0,0,0.6216838338772652
33,2022-05-31,VA,SRR22236784,0,0,0,0,
34,2022-12-13,WY,SRR22909815,28,821,0,0,1.0
35,2022-11-01,LA,SRR22315844,0,0,0,0,
36,,MI,,0,0,0,0,
37,2022-06-27,MA,SRR22236812,2,2,0,0,
38,2022-08-21,FL,SRR21473924,0,0,0,0,
39,2022-10-26,CT,SRR22401649,4,6,0,0,0.025964032120367596
40,2022-07-06,NJ,SRR22034135,6,132,0,0,
41,2022-10-10,MD,SRR22043610,0,0,0,0,
42,2022-05-31,SC,SRR22236347,0,0,0,0,
43,2022-12-18,ME,SRR22973752,3,4,0,0,
44,2022-07-18,NH,SRR22236430,2,2,0,0,
45,2022-11-29,IA,SRR22719999,12,504,0,0,0.12661297724475362
46,2022-08-15,AR,SRR21356686,6,18,0,0,1.0
47,2022-09-26,TN,SRR21883340,0,0,0,0,
48,2022-09-26,IL,SRR21883057,0,0,0,0,
49,2022-09-06,AK,SRR21668963,5,1630,0,0,
