,collection_date_ww,state,accession,n_clusters_1_ldm,cluster_depth_1_ldm,n_clusters_2plus_ldm,cluster_depth_2plus_ldm,p_lineage_present
0,2022-07-25,NE,SRR21010557,3,4,0,0,0.005911983413374877
1,2022-05-20,WA,SRR19416273,30,478,0,0,0.04872660078730773
2,2022-06-29,NM,SRR20208024,5,233,0,0,0.008908732292616864
3,2022-06-19,SD,SRR20029169,43,3825,0,0,0.02446489207373432
4,2022-06-13,TX,SRR20011743,8,116,4,68,0.024744767114108723
5,2022-06-06,CA,SRR19787423,7,52,0,0,0.06296924340257849
6,2022-06-22,KY,SRR22236705,3,3,0,0,0.010575789220631005
7,2022-06-21,OH,SRR24040888,17,12893,0,0,0.026553140189378686
8,2022-06-05,AL,SRR22236339,1,1,0,0,
9,2022-06-09,GA,SRR19787462,2,2,0,0,0.63836498496332
10,2022-07-20,WI,SRR22236408,6,14407,0,0,0.02668029823093257
11,2022-06-13,OR,SRR20011862,6,142,0,0,0.03396729410239355
12,2022-06-22,PA,SRR22236691,0,0,0,0,
13,2022-05-31,MS,SRR19779070,29,311,0,0,0.03347902859537477
14,2022-06-20,MO,SRR22236688,4,4,0,0,
15,2022-06-06,NC,SRR19787425,4,34,0,0,
16,2022-05-10,OK,SRR22242545,3,11,0,0,1.0
17,2022-07-19,WV,SRR22237115,2,2,0,0,0.024626686581748485
18,2022-06-12,NY,SRR20011835,3,3,0,0,0.008844873295096435
19,2022-07-11,IN,SRR20680130,5,5,0,0,0.008872623011957608
20,2022-06-07,KS,SRR22236751,7,9,0,0,
21,2022-06-12,ID,SRR22236735,12,2567,0,0,0.024946573711286096
22,2022-06-16,NV,SRR21798973,12,146,0,0,
23,2022-06-19,VT,SRR22236281,6,5550,0,0,0.02650533719425906
24,2022-06-27,MT,SRR20208075,5,5,0,0,0.63836498496332
25,2022-06-21,MN,SRR20207851,9,51,0,0,0.239429974606412
26,2022-09-28,ND,SRR21883034,1,1,0,0,
27,2022-06-05,HI,SRR19787424,16,2874,0,0,0.02550167229635892
28,2022-06-26,AZ,SRR20207817,5,5,0,0,0.6416060109596865
29,2022-06-06,DE,SRR22236771,2,639,0,0,0.02650861845437272
30,2022-06-06,RI,SRR19787499,8,810,0,0,0.026425507334094427
31,2022-06-26,CO,SRR22236826,5,6,0,0,0.008870105051732741
32,2022-06-07,UT,SRR22236535,18,1424,1,1,0.026479536347346427
33,2022-06-06,VA,SRR22236322,6,39,0,0,
34,2022-08-22,WY,SRR21473836,1,2,0,0,
35,2022-06-15,LA,SRR21384146,3,4,0,0,
36,2022-10-27,MI,SRR22401124,1,1,0,0,
37,2022-06-06,MA,SRR22236907,3,1231,0,0,
38,2022-06-12,FL,SRR20011750,4,31,0,0,0.02650861845437272
39,2022-05-30,CT,SRR22236933,5,1949,0,0,0.02650861845437272
40,2022-04-08,NJ,SRR22394066,3,20,0,0,
41,2022-06-08,MD,SRR21188933,36,292,0,0,0.03403913632673692
42,2022-06-26,SC,SRR20207979,4,4,0,0,0.010594879092870413
43,2022-06-22,ME,SRR20208012,4,5,0,0,
44,2022-07-10,NH,SRR20680044,2,2,0,0,
45,2022-06-21,IA,SRR22236689,1,1,0,0,0.010594879092870413
46,2022-05-03,AR,SRR21970151,1,1,0,0,
47,2022-06-26,TN,SRR20208069,12,837,0,0,0.02650861845437272
48,2022-06-20,IL,SRR20029309,2,33,0,0,0.02650861845437272
49,2022-05-29,AK,SRR19654462,14,72123,0,0,0.02648663522514089
