,collection_date_ww,state,accession,n_clusters_1_ldm,cluster_depth_1_ldm,n_clusters_2plus_ldm,cluster_depth_2plus_ldm,p_lineage_present
0,2022-11-22,NE,SRR23309452,29,13772,2,2,0.44899099301600337
1,2022-06-16,WA,SRR20166818,122,1963,0,0,0.12184847266800375
2,2022-08-31,NM,SRR21554349,4,23,0,0,0.3135607499650371
3,2022-10-25,SD,SRR22401225,7,57,0,0,0.3135607499650371
4,2022-07-04,TX,SRR20326063,10,79,0,0,0.2680434265003183
5,2022-05-28,CA,SRR19654437,15,49,0,0,0.0057597252337517335
6,2022-12-06,KY,SRR22910599,73,743,1,1,0.3285726771089465
7,2022-09-07,OH,SRR24054265,55,8818,0,0,0.9936871043492216
8,2022-06-07,AL,SRR19782009,167,6299,1,5,0.03580667261620324
9,2022-11-21,GA,SRR22554156,6,14,0,0,0.3678658358734367
10,2022-10-27,WI,SRR22401536,3,3,0,0,0.9887287024901703
11,2022-10-09,OR,SRR22043722,18,556,0,0,0.663709722861858
12,2022-06-28,PA,SRR20208035,34,1780,0,0,0.056686303060688774
13,2022-08-08,MS,SRR21194665,4,27,0,0,
14,2022-11-02,MO,SRR22315847,6,12,0,0,0.1798632140086751
15,2022-08-01,NC,SRR24112965,14,37,0,0,0.05769510960082942
16,2022-10-26,OK,SRR22315924,26,796,0,0,0.2395123178851481
17,,WV,,0,0,0,0,
18,2022-08-09,NY,SRR21194339,31,2551,0,0,0.7845287549051807
19,2022-08-21,IN,SRR21883371,0,0,0,0,
20,2022-07-31,KS,SRR21112029,5,5,0,0,0.04497587083533653
21,,ID,,0,0,0,0,
22,2022-09-26,NV,SRR22260475,9,3530,0,0,
23,2022-09-11,VT,SRR21729879,23,4159,0,0,
24,2022-11-08,MT,SRR22401691,135,89349,1,2,0.9986705668243282
25,2022-08-21,MN,SRR21473906,3,10,0,0,0.08268471945721632
26,2022-10-26,ND,SRR22401116,47,79911,1,1,0.05587887543873313
27,2022-09-06,HI,SRR21669204,5,11,0,0,0.4116234999700318
28,2022-10-02,AZ,SRR21959169,33,831,0,0,0.9823759498878093
29,,DE,,0,0,0,0,
30,2022-08-29,RI,SRR21883370,19,11520,0,0,0.03183467130081519
31,2022-06-13,CO,SRR23293910,57,118,1,1,0.3579086427365968
32,2022-11-17,UT,SRR22554222,38,203,0,0,0.5951410634208575
33,2022-06-26,VA,SRR20207839,47,699,0,0,0.046647975847821974
34,2022-10-25,WY,SRR22401262,54,949,0,0,0.13829887766625132
35,2022-08-02,LA,SRR21112047,14,2267,0,0,0.34818375054433565
36,2022-11-30,MI,SRR22720259,46,1378,0,0,0.9859048007346429
37,2022-08-28,MA,SRR22260103,2,6,0,0,0.3135607499650371
38,2022-08-14,FL,SRR21356680,34,3703,0,0,0.17499506914466476
39,2022-08-22,CT,SRR21473685,6,115,1,1,0.3135607499650371
40,2022-04-08,NJ,SRR22394066,10,111,0,0,0.5144606620514365
41,2022-06-22,MD,SRR21187573,162,2156,2,31,0.19517962737954436
42,2022-09-25,SC,SRR21883092,3,4,0,0,0.035613848305519974
43,2022-07-04,ME,SRR21010143,19,1149,0,0,0.841248323929571
44,2022-10-12,NH,SRR22043586,26,2113,0,0,0.8379477983717957
45,2022-08-23,IA,SRR21473848,30,669,0,0,0.2723072340272686
46,2022-10-09,AR,SRR22043534,38,256,0,0,0.9869033209764564
47,2022-09-27,TN,SRR21883252,35,12304,1,5,0.029093088348933063
48,2022-07-24,IL,SRR21010589,38,2536,2,2,0.0008099369115311454
49,2022-10-25,AK,SRR22401494,3,3,0,0,0.08314934571925613
