,collection_date_ww,state,accession,n_clusters_1_ldm,cluster_depth_1_ldm,n_clusters_2plus_ldm,cluster_depth_2plus_ldm,p_lineage_present
0,2023-02-17,NE,SRR23752681,0,0,0,0,
1,2022-10-13,WA,SRR21983742,28,253,0,0,0.8487778384277243
2,2022-11-22,NM,SRR22554240,22,37716,0,0,0.9528726386559494
3,2022-12-18,SD,SRR22973579,1,1,0,0,
4,2022-10-26,TX,SRR22401133,2,2,0,0,
5,2022-10-10,CA,SRR22043658,1,1,0,0,
6,2022-11-22,KY,SRR23309277,0,0,0,0,
7,2022-12-04,OH,SRR24057718,3,4,0,0,0.7940894191728038
8,2022-11-20,AL,SRR22554166,3,4,0,0,
9,2022-12-09,GA,SRR22909808,3,5,0,0,0.40611976847321474
10,2023-01-26,WI,SRR23458527,0,0,0,0,
11,2022-12-22,OR,SRR26796844,27,194,0,0,
12,2022-11-20,PA,SRR22554137,1,1,0,0,0.29432680833025615
13,2022-12-26,MS,SRR23038454,12,132,0,0,0.9528726386559494
14,2022-11-30,MO,SRR22720174,7,356,0,0,
15,2022-11-20,NC,SRR22554110,1,1,0,0,
16,2022-11-29,OK,SRR23037910,5,6,0,0,0.9972527509194111
17,2023-09-13,WV,SRR26339448,8,704,0,0,0.5856532988566061
18,2022-11-06,NY,SRR22401420,0,0,0,0,
19,2022-11-29,IN,SRR22720079,2,2,0,0,
20,2022-11-28,KS,SRR22720310,0,0,0,0,
21,2023-09-18,ID,SRR26424937,3,108,0,0,0.07766221507826647
22,2022-11-07,NV,SRR23101641,2,2,0,0,
23,2022-12-12,VT,SRR22909848,1,1,0,0,
24,2023-01-02,MT,SRR23102911,5,12,0,0,0.9528726386559494
25,2022-11-15,MN,SRR22909281,4,18,0,0,0.8090872753603924
26,2023-01-09,ND,SRR23214834,2,2,0,0,
27,2022-11-27,HI,SRR22719969,1,1,0,0,0.932644386485472
28,2022-11-22,AZ,SRR23309581,4,48,0,0,0.9528726386559494
29,,DE,,0,0,0,0,
30,2022-10-31,RI,SRR22315863,0,0,0,0,
31,2022-11-28,CO,SRR23590461,6,132,0,0,0.700361010830325
32,2022-12-27,UT,SRR23038436,13,188,0,0,0.9528726386559494
33,2022-10-27,VA,SRR22401376,3,3,0,0,
34,2022-12-05,WY,SRR22910698,2,3,0,0,
35,2022-11-27,LA,SRR22720034,2,2,0,0,
36,2023-01-16,MI,SRR23309526,20,125,0,0,0.9528726386559494
37,2022-12-04,MA,SRR22910614,5,14,0,0,0.29344864155921313
38,2022-10-09,FL,SRR22043538,0,0,0,0,
39,2022-10-23,CT,SRR22401669,0,0,0,0,
40,2022-11-14,NJ,SRR22474903,2,2,0,0,0.9109589041095891
41,2022-11-27,MD,SRR22720120,9,10188,0,0,0.700361010830325
42,2022-11-28,SC,SRR22720104,11,49,0,0,0.9528699559122236
43,2022-11-21,ME,SRR23309267,4,31,0,0,0.3906657228117847
44,2022-12-11,NH,SRR22909996,3,4,0,0,0.9889267461669504
45,2022-11-30,IA,SRR22720166,1,1,0,0,
46,2022-11-21,AR,SRR22554081,6,103,0,0,0.9528726386559494
47,2022-10-10,TN,SRR22043721,2,2,0,0,
48,2023-01-02,IL,SRR23214516,1,1,0,0,
49,2023-01-03,AK,SRR23103103,2,2,0,0,0.3723716540417077
